radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.104301	0.109655	39.439637	1.848587	0.000584	0.000588	0.030022	17.735244
0.104304	0.109658	39.423985	1.863729	0.000584	0.000588	0.030022	17.735489
0.104313	0.109667	39.441161	1.879367	0.000584	0.000588	0.030022	17.736235
0.104340	0.109694	39.441161	1.863236	0.000584	0.000588	0.030023	17.738491
0.104425	0.109775	39.400356	1.863236	0.000584	0.000588	0.030027	17.745312
0.104684	0.110018	39.351582	1.908648	0.000584	0.000588	0.030039	17.766028
0.105473	0.110748	39.243630	2.014067	0.000584	0.000588	0.030073	17.828625
0.106262	0.111478	39.157871	2.120536	0.000584	0.000588	0.030108	17.890787
0.107050	0.112207	39.085366	2.225870	0.000584	0.000588	0.030142	17.952502
0.107839	0.112937	39.037119	2.301500	0.000584	0.000588	0.030176	18.013621
0.108628	0.113666	38.992604	2.436970	0.000584	0.000588	0.030210	18.074141
0.109417	0.114394	38.947308	2.513220	0.000585	0.000588	0.030243	18.134066
0.110206	0.115123	38.941349	2.650690	0.000585	0.000588	0.030277	18.193398
0.110995	0.115852	38.865660	2.740710	0.000585	0.000588	0.030310	18.252117
0.111784	0.116580	38.850843	2.849543	0.000585	0.000588	0.030343	18.310239
0.112573	0.117308	38.816760	2.988085	0.000585	0.000588	0.030376	18.367745
0.113362	0.118036	38.774035	3.097334	0.000585	0.000588	0.030408	18.424576
0.114151	0.118764	38.720773	3.207643	0.000585	0.000588	0.030441	18.480757
0.114939	0.119492	38.651597	3.300406	0.000586	0.000588	0.030473	18.536264
0.115728	0.120219	38.613982	3.409336	0.000586	0.000588	0.030506	18.590930
0.116517	0.120947	38.558518	3.560211	0.000586	0.000588	0.030538	18.644744
0.117306	0.121674	38.489969	3.632229	0.000586	0.000588	0.030571	18.697769
0.118095	0.122401	38.471076	3.764632	0.000586	0.000588	0.030603	18.750125
0.118884	0.123128	38.448475	3.849331	0.000586	0.000588	0.030636	18.801827
0.119673	0.123855	38.422221	3.962863	0.000586	0.000588	0.030668	18.852797
0.120461	0.124581	38.429067	4.072731	0.000587	0.000588	0.030701	18.902909
0.121250	0.125308	38.404330	4.193684	0.000587	0.000588	0.030734	18.952157
0.122039	0.126035	38.371789	4.266780	0.000587	0.000588	0.030766	19.000595
0.122828	0.126761	38.320242	4.397563	0.000587	0.000588	0.030799	19.048258
0.123617	0.127488	38.300941	4.465774	0.000587	0.000589	0.030832	19.095140
0.124406	0.128215	38.244493	4.588613	0.000587	0.000589	0.030865	19.141222
0.125195	0.128941	38.181254	4.679675	0.000587	0.000589	0.030898	19.186479
0.125984	0.129668	38.118875	4.767270	0.000587	0.000589	0.030931	19.230946
0.126773	0.130394	38.075760	4.881383	0.000588	0.000589	0.030964	19.274676
0.127561	0.131121	38.000666	4.960411	0.000588	0.000589	0.030997	19.317675
0.128350	0.131847	37.941762	5.049964	0.000588	0.000589	0.031030	19.359949
0.129139	0.132574	37.887761	5.136853	0.000588	0.000589	0.031064	19.401502
0.129928	0.133300	37.827570	5.219801	0.000588	0.000589	0.031097	19.442346
0.130717	0.134027	37.754920	5.312616	0.000588	0.000589	0.031130	19.482438
0.131506	0.134753	37.709090	5.401200	0.000588	0.000589	0.031163	19.521677
0.132295	0.135480	37.597103	5.485543	0.000588	0.000589	0.031197	19.560050
0.133084	0.136206	37.528114	5.569577	0.000589	0.000589	0.031230	19.597433
0.133872	0.136933	37.462208	5.638742	0.000589	0.000589	0.031264	19.633654
0.134661	0.137659	37.459109	5.710593	0.000589	0.000589	0.031297	19.668715
0.135450	0.138385	37.424938	5.770797	0.000589	0.000589	0.031331	19.702554
0.136238	0.139112	37.392794	5.843033	0.000589	0.000589	0.031365	19.735139
0.137027	0.139838	37.372139	5.892365	0.000589	0.000589	0.031398	19.766475
0.137816	0.140565	37.362420	5.942331	0.000589	0.000589	0.031432	19.796628
0.138604	0.141291	37.389540	5.994284	0.000590	0.000589	0.031466	19.825641
0.139393	0.142017	37.410889	6.034280	0.000590	0.000589	0.031500	19.853513
0.140181	0.142744	37.450272	6.077804	0.000590	0.000590	0.031534	19.880142
0.140970	0.143470	37.476657	6.109699	0.000590	0.000590	0.031568	19.905492
0.141758	0.144196	37.490211	6.121728	0.000590	0.000590	0.031602	19.929575
0.142547	0.144922	37.527103	6.170845	0.000590	0.000590	0.031636	19.952468
0.143335	0.145649	37.544123	6.183856	0.000590	0.000590	0.031670	19.974179
0.144123	0.146375	37.585924	6.183135	0.000591	0.000590	0.031705	19.994716
0.144912	0.147101	37.616844	6.186402	0.000591	0.000590	0.031739	20.014069
0.145700	0.147828	37.672262	6.194947	0.000591	0.000590	0.031774	20.032254
0.146488	0.148554	37.736452	6.192582	0.000591	0.000590	0.031808	20.049276
0.147276	0.149280	37.810241	6.192867	0.000591	0.000590	0.031843	20.065164
0.148064	0.150006	37.892646	6.171489	0.000591	0.000590	0.031877	20.079930
0.148852	0.150733	37.944602	6.164926	0.000592	0.000590	0.031912	20.093892
0.149640	0.151459	38.008362	6.166573	0.000592	0.000591	0.031947	20.107640
0.150428	0.152185	38.074599	6.133223	0.000592	0.000591	0.031981	20.121189
